INFO_2025-04-01 14:42:27,430_File: base_app.views Func: home.
INFO_2025-04-01 14:42:36,989_File: base_app.views Func: home.
INFO_2025-04-01 14:42:38,222_File: base_app.views Func: filial_home.
INFO_2025-04-01 14:42:38,942_File: base_app.views Func: home.
INFO_2025-04-01 14:47:56,711_File: base_app.views Func: home.
INFO_2025-04-01 14:48:59,898_File: base_app.views Func: home.
INFO_2025-04-01 14:53:09,144_File: base_app.views Func: home.
INFO_2025-04-01 14:53:21,568_File: base_app.views Func: home.
INFO_2025-04-01 14:53:30,679_File: base_app.views Func: home.
INFO_2025-04-01 14:56:58,687_File: base_app.views Func: home.
INFO_2025-04-01 14:57:02,416_File: base_app.views Func: home.
INFO_2025-04-01 14:57:29,485_File: base_app.views Func: home.
INFO_2025-04-01 14:57:53,750_File: base_app.views Func: home.
INFO_2025-04-01 14:57:56,470_File: base_app.views Func: home.
INFO_2025-04-01 14:59:18,837_File: base_app.views Func: home.
INFO_2025-04-01 14:59:24,261_File: base_app.views Func: home.
INFO_2025-04-01 14:59:48,021_File: base_app.views Func: home.
INFO_2025-04-01 15:00:10,517_File: base_app.views Func: home.
INFO_2025-04-01 15:00:58,620_File: base_app.views Func: home.
INFO_2025-04-01 15:01:18,859_File: base_app.views Func: home.
INFO_2025-04-01 15:01:29,268_File: base_app.views Func: home.
INFO_2025-04-01 15:01:52,571_File: base_app.views Func: home.
INFO_2025-04-01 15:10:27,262_File: base_app.views Func: home.
INFO_2025-04-01 15:10:33,238_File: base_app.views Func: home.
INFO_2025-04-01 15:10:38,157_File: base_app.views Func: home.
INFO_2025-04-01 15:10:38,678_File: base_app.views Func: filial_home.
INFO_2025-04-01 15:10:39,638_File: base_app.views Func: home.
INFO_2025-04-01 15:10:40,085_File: base_app.views Func: filial_home.
INFO_2025-04-01 15:10:41,445_File: base_app.views Func: home.
INFO_2025-04-01 15:10:42,174_File: base_app.views Func: filial_home.
INFO_2025-04-01 15:10:42,798_File: base_app.views Func: home.
INFO_2025-04-01 15:10:49,886_File: base_app.views Func: home.
INFO_2025-04-01 15:11:01,426_File: base_app.views Func: home.
INFO_2025-04-01 15:11:05,982_File: base_app.views Func: filial_home.
INFO_2025-04-01 15:11:07,795_File: base_app.views Func: home.
INFO_2025-04-01 17:39:22,660_File: base_app.views Func: home.
INFO_2025-04-01 17:39:24,577_File: base_app.views Func: filial_home.
INFO_2025-04-01 17:39:30,257_File: base_app.views Func: report.
INFO_2025-04-01 17:39:34,306_File: base_app.views Func: report.
INFO_2025-04-01 17:49:24,231_File: base_app.views Func: report.
INFO_2025-04-01 17:49:48,705_File: base_app.views Func: report.
INFO_2025-04-01 17:56:04,846_File: base_app.views Func: report.
INFO_2025-04-01 17:56:11,585_File: base_app.views Func: report.
INFO_2025-04-01 17:57:50,275_File: base_app.views Func: report.
INFO_2025-04-01 17:59:48,485_File: base_app.views Func: report.
INFO_2025-04-01 18:01:11,172_File: base_app.views Func: report.
INFO_2025-04-01 18:01:41,944_File: base_app.views Func: report.
INFO_2025-04-01 18:01:54,650_File: base_app.views Func: home.
INFO_2025-04-01 18:03:05,683_File: base_app.views Func: filial_home.
INFO_2025-04-01 18:03:08,455_File: base_app.views Func: report.
INFO_2025-04-01 18:03:15,678_File: base_app.views Func: report.
INFO_2025-04-01 18:03:20,198_File: base_app.views Func: report.
INFO_2025-04-01 18:03:28,505_File: base_app.views Func: report.
INFO_2025-04-01 18:04:15,196_File: base_app.views Func: report.
INFO_2025-04-01 20:37:12,087_File: base_app.views Func: report.
INFO_2025-04-01 20:40:58,063_File: base_app.views Func: report.
INFO_2025-04-01 20:55:50,171_File: base_app.views Func: report.
INFO_2025-04-01 20:56:44,928_File: base_app.views Func: report.
INFO_2025-04-01 21:05:28,546_File: base_app.views Func: report.
INFO_2025-04-01 21:06:02,834_File: base_app.views Func: report.
INFO_2025-04-01 21:07:38,974_File: base_app.views Func: report.
INFO_2025-04-01 21:10:30,347_File: base_app.views Func: report.
INFO_2025-04-01 21:10:34,283_File: base_app.views Func: report.
INFO_2025-04-01 21:11:53,561_File: base_app.views Func: report.
INFO_2025-04-01 21:14:26,260_File: base_app.views Func: report.
INFO_2025-04-01 21:14:39,689_File: base_app.views Func: report.
INFO_2025-04-01 21:15:09,499_File: base_app.views Func: report.
INFO_2025-04-01 21:19:51,884_File: base_app.views Func: report.
INFO_2025-04-01 21:20:16,069_File: base_app.views Func: report.
INFO_2025-04-01 21:20:35,092_File: base_app.views Func: report.
INFO_2025-04-01 21:20:47,392_File: base_app.views Func: report.
INFO_2025-04-01 21:21:05,855_File: base_app.views Func: report.
INFO_2025-04-01 21:23:37,656_File: base_app.views Func: report.
INFO_2025-04-01 21:24:36,588_File: base_app.views Func: report.
INFO_2025-04-01 21:25:58,290_File: base_app.views Func: report.
INFO_2025-04-01 21:26:51,772_File: base_app.views Func: report.
INFO_2025-04-01 21:27:27,851_File: base_app.views Func: report.
INFO_2025-04-01 21:28:30,543_File: base_app.views Func: report.
INFO_2025-04-01 21:28:49,705_File: base_app.views Func: report.
INFO_2025-04-01 21:30:17,460_File: base_app.views Func: report.
INFO_2025-04-01 21:36:54,106_File: base_app.views Func: report.
INFO_2025-04-01 22:34:56,156_File: base_app.views Func: home.
INFO_2025-04-01 22:41:31,756_File: base_app.views Func: home.
